#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
0.477121  -1.683044e+00  -3.472262e+00  -6.313417e+00
6.989700e-01  -2.283755e+00  -4.667877e+00  -7.839390e+00
8.450980e-01  -2.635683e+00  -5.373791e+00  -7.097897e+00
9.542425e-01  -2.885488e+00  -5.884180e+00  -7.839390e+00
1.041393e+00  -3.079272e+00  -6.258624e+00  -7.839390e+00
1.113943e+00  -3.237645e+00  -6.571210e+00  -6.963499e+00
1.176091e+00  -3.371358e+00  -6.759172e+00  -7.097897e+00
1.230449e+00  -3.487468e+00  -7.097897e+00  -7.839390e+00
1.278754e+00  -3.589700e+00  -7.097897e+00  -6.963499e+00
1.322219e+00  -3.681551e+00  -6.759172e+00  -6.963499e+00
1.361728e+00  -3.764293e+00  -7.097897e+00  -6.963499e+00
1.397940e+00  -3.839455e+00  -7.839390e+00  -6.963499e+00
1.431364e+00  -3.908963e+00  -7.097897e+00  -7.839390e+00
1.462398e+00  -3.972885e+00  -7.839390e+00  -6.963499e+00
1.491362e+00  -4.033919e+00  -6.571210e+00  -6.759172e+00
1.518514e+00  -4.089586e+00  -6.963499e+00  -7.097897e+00
1.544068e+00  -4.143083e+00  -7.839390e+00  -7.097897e+00
1.568202e+00  -4.193109e+00  -6.571210e+00  -7.839390e+00
1.591065e+00  -4.238877e+00  -7.097897e+00  -7.839390e+00
1.612784e+00  -4.282915e+00  -7.839390e+00  -6.963499e+00
1.633468e+00  -4.324949e+00  -7.097897e+00  -7.097897e+00
1.653213e+00  -4.366701e+00  -6.963499e+00  -6.692373e+00
1.672098e+00  -4.405544e+00  -7.839390e+00  -7.839390e+00
1.690196e+00  -4.440232e+00  -7.097897e+00  -6.963499e+00
1.707570e+00  -4.474257e+00  -7.097897e+00  -7.097897e+00
1.724276e+00  -4.512507e+00  -6.759172e+00  -7.839390e+00
1.740363e+00  -4.540016e+00  -6.963499e+00  -7.097897e+00
1.755875e+00  -4.570909e+00  -6.963499e+00  -7.839390e+00
1.770852e+00  -4.607473e+00  -7.839390e+00  -7.839390e+00
1.785330e+00  -4.638403e+00  -6.759172e+00  -7.839390e+00
1.799341e+00  -4.656589e+00  -6.963499e+00  -6.963499e+00
1.812913e+00  -4.685380e+00  -7.839390e+00  -7.097897e+00
1.826075e+00  -4.718352e+00  -6.963499e+00  -6.963499e+00
1.838849e+00  -4.742566e+00  -6.963499e+00  -6.692373e+00
1.851258e+00  -4.773039e+00  -6.571210e+00  -7.839390e+00
1.863323e+00  -4.792914e+00  -6.963499e+00  -7.097897e+00
1.875061e+00  -4.816417e+00  -7.097897e+00  -7.097897e+00
1.886491e+00  -4.838432e+00  -6.963499e+00  -6.571210e+00
1.897627e+00  -4.864612e+00  -6.759172e+00  -6.963499e+00
1.908485e+00  -4.886124e+00  -7.097897e+00  -6.759172e+00
1.919078e+00  -4.908758e+00  -6.963499e+00  -6.963499e+00
1.929419e+00  -4.932636e+00  -6.963499e+00  -6.759172e+00
1.939519e+00  -4.936157e+00  -7.097897e+00  -6.692373e+00
1.949390e+00  -4.961637e+00  -6.759172e+00  -6.963499e+00
1.959041e+00  -4.992714e+00  -6.692373e+00  -7.097897e+00
1.968483e+00  -4.992714e+00  -6.759172e+00  -6.571210e+00
1.977724e+00  -5.017574e+00  -6.963499e+00  -7.839390e+00
1.986772e+00  -5.034975e+00  -6.759172e+00  -6.963499e+00
1.995635e+00  -5.072019e+00  -6.963499e+00  -7.097897e+00
2.004321e+00  -5.086768e+00  -7.097897e+00  -7.097897e+00
2.012837e+00  -5.102035e+00  -7.097897e+00  -6.440455e+00
2.021189e+00  -5.112520e+00  -6.571210e+00  -6.440455e+00
2.029384e+00  -5.123264e+00  -6.963499e+00  -6.963499e+00
2.037426e+00  -5.163111e+00  -6.759172e+00  -6.440455e+00
2.045323e+00  -5.139896e+00  -6.407105e+00  -7.839390e+00
2.053078e+00  -5.175201e+00  -6.340092e+00  -7.097897e+00
2.060698e+00  -5.181375e+00  -7.839390e+00  -7.097897e+00
2.068186e+00  -5.206987e+00  -6.692373e+00  -6.759172e+00
2.075547e+00  -5.248481e+00  -7.839390e+00  -6.963499e+00
2.082785e+00  -5.213633e+00  -7.839390e+00  -6.963499e+00
2.089905e+00  -5.234205e+00  -7.097897e+00  -6.692373e+00
2.096910e+00  -5.294362e+00  -6.571210e+00  -6.963499e+00
2.103804e+00  -5.294362e+00  -6.963499e+00  -7.097897e+00
2.110590e+00  -5.302504e+00  -7.839390e+00  -7.839390e+00
2.117271e+00  -5.354843e+00  -6.526726e+00  -7.097897e+00
2.123852e+00  -5.319259e+00  -6.963499e+00  -6.440455e+00
2.130334e+00  -5.336686e+00  -6.571210e+00  -7.097897e+00
2.136721e+00  -5.354843e+00  -7.097897e+00  -7.097897e+00
2.143015e+00  -5.327885e+00  -6.759172e+00  -7.839390e+00
2.149219e+00  -5.383585e+00  -6.407105e+00  -6.692373e+00
2.155336e+00  -5.373791e+00  -7.097897e+00  -7.839390e+00
2.161368e+00  -5.393605e+00  -6.759172e+00  -6.963499e+00
2.167317e+00  -5.436168e+00  -6.407105e+00  -6.571210e+00
2.173186e+00  -5.414365e+00  -6.963499e+00  -7.097897e+00
2.178977e+00  -5.459124e+00  -6.571210e+00  -6.692373e+00
2.184691e+00  -5.471073e+00  -6.963499e+00  -6.440455e+00
2.190332e+00  -5.459124e+00  -7.839390e+00  -6.571210e+00
2.195900e+00  -5.471073e+00  -6.440455e+00  -7.839390e+00
2.201397e+00  -5.447494e+00  -6.571210e+00  -7.839390e+00
2.206826e+00  -5.536314e+00  -7.839390e+00  -6.571210e+00
2.212188e+00  -5.483361e+00  -6.526726e+00  -6.407105e+00
2.217484e+00  -5.550627e+00  -6.963499e+00  -6.526726e+00
2.222716e+00  -5.596632e+00  -6.236397e+00  -7.097897e+00
2.227887e+00  -5.522458e+00  -6.526726e+00  -6.692373e+00
2.232996e+00  -5.522458e+00  -6.963499e+00  -6.571210e+00
2.238046e+00  -5.536314e+00  -6.407105e+00  -7.097897e+00
2.243038e+00  -5.596632e+00  -7.097897e+00  -7.839390e+00
2.247973e+00  -5.596632e+00  -6.571210e+00  -6.313417e+00
2.252853e+00  -5.613118e+00  -7.097897e+00  -7.097897e+00
2.257679e+00  -5.565427e+00  -6.440455e+00  -6.963499e+00
2.262451e+00  -5.596632e+00  -6.963499e+00  -6.526726e+00
2.267172e+00  -5.580749e+00  -6.759172e+00  -7.839390e+00
2.271842e+00  -5.565427e+00  -6.759172e+00  -6.571210e+00
2.276462e+00  -5.613118e+00  -6.313417e+00  -7.839390e+00
2.281033e+00  -5.630255e+00  -6.692373e+00  -6.759172e+00
2.285557e+00  -5.666700e+00  -6.440455e+00  -6.571210e+00
2.290035e+00  -5.727836e+00  -6.963499e+00  -6.759172e+00
2.294466e+00  -5.630255e+00  -7.839390e+00  -6.258624e+00
2.298853e+00  -5.706487e+00  -6.963499e+00  -7.839390e+00
2.303196e+00  -5.853896e+00  -6.692373e+00  -6.692373e+00
2.307496e+00  -5.750289e+00  -6.407105e+00  -6.759172e+00
2.311754e+00  -5.666700e+00  -6.340092e+00  -6.692373e+00
2.315970e+00  -5.648095e+00  -7.839390e+00  -6.440455e+00
2.320146e+00  -5.773967e+00  -7.839390e+00  -6.759172e+00
2.324282e+00  -5.648095e+00  -6.526726e+00  -6.963499e+00
2.328380e+00  -5.630255e+00  -6.692373e+00  -7.097897e+00
2.332438e+00  -5.706487e+00  -6.407105e+00  -6.692373e+00
2.336460e+00  -5.750289e+00  -6.440455e+00  -6.526726e+00
2.340444e+00  -5.884180e+00  -6.759172e+00  -7.839390e+00
2.344392e+00  -5.799010e+00  -7.097897e+00  -6.340092e+00
2.348305e+00  -5.884180e+00  -7.839390e+00  -7.839390e+00
2.352183e+00  -5.773967e+00  -6.340092e+00  -6.313417e+00
2.356026e+00  -5.706487e+00  -6.526726e+00  -6.963499e+00
2.359835e+00  -5.799010e+00  -6.526726e+00  -6.440455e+00
2.363612e+00  -5.884180e+00  -7.839390e+00  -6.571210e+00
2.367356e+00  -5.773967e+00  -6.440455e+00  -6.963499e+00
2.371068e+00  -5.750289e+00  -7.097897e+00  -7.097897e+00
2.374748e+00  -5.799010e+00  -7.839390e+00  -6.963499e+00
2.378398e+00  -5.799010e+00  -6.692373e+00  -6.571210e+00
2.382017e+00  -5.825587e+00  -6.692373e+00  -6.258624e+00
2.385606e+00  -5.916735e+00  -6.963499e+00  -6.313417e+00
2.389166e+00  -6.032238e+00  -6.692373e+00  -6.440455e+00
2.392697e+00  -5.951930e+00  -6.114175e+00  -6.692373e+00
2.396199e+00  -5.825587e+00  -5.906478e+00  -7.097897e+00
2.399674e+00  -5.853896e+00  -6.692373e+00  -6.759172e+00
2.403121e+00  -5.990230e+00  -7.839390e+00  -6.440455e+00
2.406540e+00  -5.825587e+00  -6.692373e+00  -6.440455e+00
2.409933e+00  -5.727836e+00  -6.692373e+00  -7.839390e+00
2.413300e+00  -5.773967e+00  -7.839390e+00  -7.097897e+00
2.416641e+00  -5.916735e+00  -6.313417e+00  -6.963499e+00
2.419956e+00  -5.916735e+00  -6.440455e+00  -6.692373e+00
2.423246e+00  -5.884180e+00  -6.258624e+00  -6.692373e+00
2.426511e+00  -5.750289e+00  -7.839390e+00  -6.526726e+00
2.429752e+00  -5.884180e+00  -6.759172e+00  -6.759172e+00
2.432969e+00  -5.773967e+00  -6.692373e+00  -6.526726e+00
2.436163e+00  -5.916735e+00  -6.440455e+00  -7.097897e+00
2.439333e+00  -6.032238e+00  -6.692373e+00  -6.571210e+00
2.442480e+00  -5.773967e+00  -6.571210e+00  -6.759172e+00
2.445604e+00  -6.078749e+00  -7.839390e+00  -6.440455e+00
2.448706e+00  -5.727836e+00  -6.571210e+00  -6.190052e+00
2.451786e+00  -6.032238e+00  -6.692373e+00  -6.258624e+00
2.454845e+00  -6.032238e+00  -6.692373e+00  -6.190052e+00
2.457882e+00  -6.130844e+00  -6.963499e+00  -7.097897e+00
2.460898e+00  -6.078749e+00  -6.963499e+00  -6.571210e+00
2.463893e+00  -5.990230e+00  -7.097897e+00  -6.340092e+00
2.466868e+00  -6.078749e+00  -6.963499e+00  -6.759172e+00
2.469822e+00  -5.799010e+00  -6.340092e+00  -7.839390e+00
2.472756e+00  -6.130844e+00  -6.340092e+00  -6.313417e+00
2.475671e+00  -6.130844e+00  -6.571210e+00  -6.692373e+00
2.478566e+00  -5.916735e+00  -6.171001e+00  -7.097897e+00
2.481443e+00  -6.258624e+00  -6.759172e+00  -6.963499e+00
2.484300e+00  -5.990230e+00  -7.097897e+00  -6.963499e+00
2.487138e+00  -6.571210e+00  -6.526726e+00  -6.571210e+00
2.489958e+00  -5.884180e+00  -7.839390e+00  -7.097897e+00
2.492760e+00  -6.190052e+00  -6.692373e+00  -6.571210e+00
2.495544e+00  -6.130844e+00  -7.839390e+00  -6.440455e+00
2.498311e+00  -5.750289e+00  -6.407105e+00  -7.839390e+00
2.501059e+00  -6.078749e+00  -6.759172e+00  -6.692373e+00
2.503791e+00  -6.190052e+00  -6.571210e+00  -6.340092e+00
2.506505e+00  -6.190052e+00  -6.692373e+00  -6.526726e+00
2.509203e+00  -6.190052e+00  -6.963499e+00  -7.097897e+00
2.511883e+00  -6.130844e+00  -7.839390e+00  -6.963499e+00
2.514548e+00  -6.130844e+00  -6.526726e+00  -6.963499e+00
2.517196e+00  -5.990230e+00  -6.526726e+00  -6.526726e+00
2.519828e+00  -5.990230e+00  -6.236397e+00  -7.097897e+00
2.522444e+00  -5.916735e+00  -6.692373e+00  -6.258624e+00
2.525045e+00  -6.340092e+00  -6.692373e+00  -6.171001e+00
2.527630e+00  -5.884180e+00  -6.571210e+00  -6.571210e+00
2.530200e+00  -6.258624e+00  -6.759172e+00  -6.692373e+00
2.532754e+00  -6.759172e+00  -6.571210e+00  -7.839390e+00
2.535294e+00  -6.032238e+00  -6.407105e+00  -6.963499e+00
2.537819e+00  -7.097897e+00  -7.097897e+00  -7.839390e+00
2.540329e+00  -6.190052e+00  -6.963499e+00  -6.440455e+00
2.542825e+00  -6.190052e+00  -6.114175e+00  -6.963499e+00
2.545307e+00  -6.440455e+00  -6.571210e+00  -6.407105e+00
2.547775e+00  -6.340092e+00  -7.839390e+00  -6.692373e+00
2.550228e+00  -6.258624e+00  -6.692373e+00  -6.407105e+00
2.552668e+00  -6.190052e+00  -6.171001e+00  -6.526726e+00
2.555094e+00  -6.032238e+00  -6.571210e+00  -7.097897e+00
2.557507e+00  -6.340092e+00  -6.340092e+00  -7.097897e+00
2.559907e+00  -6.258624e+00  -6.963499e+00  -6.526726e+00
2.562293e+00  -5.916735e+00  -6.963499e+00  -6.171001e+00
2.564666e+00  -6.340092e+00  -6.130844e+00  -6.526726e+00
2.567026e+00  -6.190052e+00  -6.313417e+00  -6.692373e+00
2.569374e+00  -6.340092e+00  -6.759172e+00  -5.990230e+00
2.571709e+00  -7.097897e+00  -6.258624e+00  -6.258624e+00
2.574031e+00  -6.571210e+00  -6.236397e+00  -6.692373e+00
2.576341e+00  -6.258624e+00  -6.078749e+00  -6.963499e+00
2.578639e+00  -6.963499e+00  -7.839390e+00  -7.839390e+00
2.580925e+00  -6.759172e+00  -6.313417e+00  -5.951930e+00
2.583199e+00  -6.258624e+00  -6.963499e+00  -6.963499e+00
2.585461e+00  -6.190052e+00  -6.407105e+00  -6.759172e+00
2.587711e+00  -6.340092e+00  -6.759172e+00  -6.440455e+00
2.589950e+00  -6.130844e+00  -6.526726e+00  -6.440455e+00
2.592177e+00  -7.097897e+00  -6.236397e+00  -6.340092e+00
2.594393e+00  -6.571210e+00  -6.407105e+00  -6.340092e+00
2.596597e+00  -5.990230e+00  -6.340092e+00  -6.571210e+00
2.598791e+00  -6.571210e+00  -7.097897e+00  -6.963499e+00
2.600973e+00  -6.759172e+00  -6.526726e+00  -6.440455e+00
2.603144e+00  -6.407105e+00  -6.171001e+00  -6.692373e+00
2.605305e+00  -6.340092e+00  -6.692373e+00  -7.097897e+00
2.607455e+00  -6.190052e+00  -7.839390e+00  -6.171001e+00
2.609594e+00  -6.440455e+00  -6.759172e+00  -7.097897e+00
2.611723e+00  -5.990230e+00  -6.526726e+00  -7.097897e+00
2.613842e+00  -6.258624e+00  -6.440455e+00  -7.839390e+00
2.615950e+00  -6.759172e+00  -6.340092e+00  -6.526726e+00
2.618048e+00  -6.258624e+00  -7.097897e+00  -6.171001e+00
2.620136e+00  -6.440455e+00  -6.407105e+00  -6.692373e+00
2.622214e+00  -6.440455e+00  -6.407105e+00  -6.440455e+00
2.624282e+00  -6.963499e+00  -6.571210e+00  -6.526726e+00
2.626340e+00  -7.839390e+00  -6.171001e+00  -6.440455e+00
2.628389e+00  -6.963499e+00  -6.340092e+00  -7.839390e+00
2.630428e+00  -6.440455e+00  -6.440455e+00  -6.440455e+00
2.632457e+00  -6.759172e+00  -6.190052e+00  -7.097897e+00
2.634477e+00  -7.097897e+00  -6.407105e+00  -6.407105e+00
2.636488e+00  -6.759172e+00  -6.963499e+00  -6.407105e+00
2.638489e+00  -6.130844e+00  -6.340092e+00  -6.692373e+00
2.640481e+00  -7.839390e+00  -7.839390e+00  -6.190052e+00
2.642465e+00  -7.097897e+00  -5.791167e+00  -6.313417e+00
2.644439e+00  -6.440455e+00  -7.839390e+00  -6.258624e+00
2.646404e+00  -7.839390e+00  -6.313417e+00  -6.313417e+00
2.648360e+00  -6.258624e+00  -7.097897e+00  -7.839390e+00
2.650308e+00  -6.258624e+00  -6.692373e+00  -6.963499e+00
2.652246e+00  -6.130844e+00  -6.313417e+00  -6.692373e+00
2.654177e+00  -6.130844e+00  -6.692373e+00  -6.759172e+00
2.656098e+00  -6.571210e+00  -6.963499e+00  -6.114175e+00
2.658011e+00  -6.571210e+00  -6.571210e+00  -6.571210e+00
2.659916e+00  -6.258624e+00  -6.571210e+00  -7.097897e+00
2.661813e+00  -6.440455e+00  -6.313417e+00  -6.963499e+00
2.663701e+00  -6.078749e+00  -6.571210e+00  -6.407105e+00
